
Intensity Median Ch=25 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
1492,,Surface,25,Image 1,1,26544,
942,,Surface,25,Image 1,1,26545,
2424,,Surface,25,Image 1,1,26546,
1302,,Surface,25,Image 1,1,26547,
1156,,Surface,25,Image 1,1,26548,
1124,,Surface,25,Image 1,1,26549,
1082,,Surface,25,Image 1,1,26550,
1036,,Surface,25,Image 1,1,26551,
958,,Surface,25,Image 1,1,26552,
2072,,Surface,25,Image 1,1,26553,
1452,,Surface,25,Image 1,1,26554,
826,,Surface,25,Image 1,1,26555,
1396,,Surface,25,Image 1,1,26556,
2040,,Surface,25,Image 1,1,26557,
2564,,Surface,25,Image 1,1,26558,
2204,,Surface,25,Image 1,1,26559,
1492,,Surface,25,Image 1,1,26560,
846,,Surface,25,Image 1,1,26561,
2072,,Surface,25,Image 1,1,26562,
1108,,Surface,25,Image 1,1,26563,
774,,Surface,25,Image 1,1,26564,
1780,,Surface,25,Image 1,1,26565,
2420,,Surface,25,Image 1,1,26567,
1748,,Surface,25,Image 1,1,26568,
962,,Surface,25,Image 1,1,26569,
1732,,Surface,25,Image 1,1,26570,
1340,,Surface,25,Image 1,1,26571,
2348,,Surface,25,Image 1,1,26572,
740,,Surface,25,Image 1,1,26573,
1816,,Surface,25,Image 1,1,26574,
1284,,Surface,25,Image 1,1,26575,
1812,,Surface,25,Image 1,1,26576,
1772,,Surface,25,Image 1,1,26577,
1268,,Surface,25,Image 1,1,26578,
1052,,Surface,25,Image 1,1,26580,
1004,,Surface,25,Image 1,1,26581,
1588,,Surface,25,Image 1,1,26582,
996,,Surface,25,Image 1,1,26583,
1508,,Surface,25,Image 1,1,26584,
1524,,Surface,25,Image 1,1,26585,
1460,,Surface,25,Image 1,1,26586,
2392,,Surface,25,Image 1,1,26587,
1460,,Surface,25,Image 1,1,26589,
1076,,Surface,25,Image 1,1,26591,
3048,,Surface,25,Image 1,1,26592,
2308,,Surface,25,Image 1,1,26593,
1996,,Surface,25,Image 1,1,26594,
1656,,Surface,25,Image 1,1,26595,
2388,,Surface,25,Image 1,1,26597,
1156,,Surface,25,Image 1,1,26598,
1580,,Surface,25,Image 1,1,26599,
1500,,Surface,25,Image 1,1,26600,
1140,,Surface,25,Image 1,1,26601,
786,,Surface,25,Image 1,1,26602,
1832,,Surface,25,Image 1,1,26603,
1388,,Surface,25,Image 1,1,26604,
1098,,Surface,25,Image 1,1,26606,
1236,,Surface,25,Image 1,1,26607,
978,,Surface,25,Image 1,1,26608,
1332,,Surface,25,Image 1,1,26609,
1492,,Surface,25,Image 1,1,26610,
2692,,Surface,25,Image 1,1,26611,
1540,,Surface,25,Image 1,1,26612,
990,,Surface,25,Image 1,1,26614,
2188,,Surface,25,Image 1,1,26616,
1324,,Surface,25,Image 1,1,26617,
898,,Surface,25,Image 1,1,26621,
1092,,Surface,25,Image 1,1,26622,
1010,,Surface,25,Image 1,1,26624,
1562,,Surface,25,Image 1,1,26626,
1684,,Surface,25,Image 1,1,26627,
934,,Surface,25,Image 1,1,26628,
1636,,Surface,25,Image 1,1,26630,
712,,Surface,25,Image 1,1,26632,
1084,,Surface,25,Image 1,1,26633,
1860,,Surface,25,Image 1,1,26635,
1500,,Surface,25,Image 1,1,26636,
1684,,Surface,25,Image 1,1,26637,
1212,,Surface,25,Image 1,1,26638,
2220,,Surface,25,Image 1,1,26639,
1172,,Surface,25,Image 1,1,26640,
826,,Surface,25,Image 1,1,26641,
1436,,Surface,25,Image 1,1,26642,
1474,,Surface,25,Image 1,1,26643,
1180,,Surface,25,Image 1,1,26644,
1724,,Surface,25,Image 1,1,26645,
1500,,Surface,25,Image 1,1,26646,
1396,,Surface,25,Image 1,1,26647,
1556,,Surface,25,Image 1,1,26649,
1812,,Surface,25,Image 1,1,26652,
1652,,Surface,25,Image 1,1,26654,
1420,,Surface,25,Image 1,1,26655,
838,,Surface,25,Image 1,1,26658,
1492,,Surface,25,Image 1,1,26659,
1700,,Surface,25,Image 1,1,26660,
858,,Surface,25,Image 1,1,26661,
862,,Surface,25,Image 1,1,26662,
2180,,Surface,25,Image 1,1,26663,
1492,,Surface,25,Image 1,1,26664,
1044,,Surface,25,Image 1,1,26665,
950,,Surface,25,Image 1,1,26666,
1484,,Surface,25,Image 1,1,26667,
1180,,Surface,25,Image 1,1,26668,
1444,,Surface,25,Image 1,1,26669,
926,,Surface,25,Image 1,1,26670,
2196,,Surface,25,Image 1,1,26671,
2056,,Surface,25,Image 1,1,26672,
1010,,Surface,25,Image 1,1,26673,
970,,Surface,25,Image 1,1,26674,
2520,,Surface,25,Image 1,1,26675,
930,,Surface,25,Image 1,1,26676,
1054,,Surface,25,Image 1,1,26677,
1124,,Surface,25,Image 1,1,26678,
3272,,Surface,25,Image 1,1,26679,
1222,,Surface,25,Image 1,1,26681,
1340,,Surface,25,Image 1,1,26682,
484,,Surface,25,Image 1,1,26683,
1732,,Surface,25,Image 1,1,26686,
1146,,Surface,25,Image 1,1,26688,
1932,,Surface,25,Image 1,1,26689,
2676,,Surface,25,Image 1,1,26690,
1132,,Surface,25,Image 1,1,26691,
1026,,Surface,25,Image 1,1,26692,
1996,,Surface,25,Image 1,1,26694,
1332,,Surface,25,Image 1,1,26695,
1244,,Surface,25,Image 1,1,26696,
1014,,Surface,25,Image 1,1,26697,
938,,Surface,25,Image 1,1,26699,
2012,,Surface,25,Image 1,1,26700,
1190,,Surface,25,Image 1,1,26701,
1124,,Surface,25,Image 1,1,26702,
1368,,Surface,25,Image 1,1,26703,
940,,Surface,25,Image 1,1,26704,
1172,,Surface,25,Image 1,1,26705,
1118,,Surface,25,Image 1,1,26706,
1086,,Surface,25,Image 1,1,26707,
1252,,Surface,25,Image 1,1,26708,
1516,,Surface,25,Image 1,1,26709,
1116,,Surface,25,Image 1,1,26710,
1364,,Surface,25,Image 1,1,26711,
2152,,Surface,25,Image 1,1,26712,
1100,,Surface,25,Image 1,1,26713,
1188,,Surface,25,Image 1,1,26714,
774,,Surface,25,Image 1,1,26716,
1956,,Surface,25,Image 1,1,26717,
1090,,Surface,25,Image 1,1,26718,
1252,,Surface,25,Image 1,1,26719,
1580,,Surface,25,Image 1,1,26720,
1988,,Surface,25,Image 1,1,26722,
1716,,Surface,25,Image 1,1,26723,
1972,,Surface,25,Image 1,1,26724,
954,,Surface,25,Image 1,1,26725,
1100,,Surface,25,Image 1,1,26726,
1116,,Surface,25,Image 1,1,26727,
990,,Surface,25,Image 1,1,26728,
1252,,Surface,25,Image 1,1,26729,
2440,,Surface,25,Image 1,1,26730,
1060,,Surface,25,Image 1,1,26731,
1196,,Surface,25,Image 1,1,26732,
1020,,Surface,25,Image 1,1,26733,
798,,Surface,25,Image 1,1,26734,
1058,,Surface,25,Image 1,1,26735,
1284,,Surface,25,Image 1,1,26736,
1292,,Surface,25,Image 1,1,26737,
2888,,Surface,25,Image 1,1,26739,
1020,,Surface,25,Image 1,1,26740,
1468,,Surface,25,Image 1,1,26741,
1956,,Surface,25,Image 1,1,26742,
1082,,Surface,25,Image 1,1,26743,
1444,,Surface,25,Image 1,1,26745,
1268,,Surface,25,Image 1,1,26746,
964,,Surface,25,Image 1,1,26747,
1668,,Surface,25,Image 1,1,26748,
1222,,Surface,25,Image 1,1,26749,
1324,,Surface,25,Image 1,1,26750,
1900,,Surface,25,Image 1,1,26751,
1166,,Surface,25,Image 1,1,26752,
974,,Surface,25,Image 1,1,26753,
1660,,Surface,25,Image 1,1,26754,
1366,,Surface,25,Image 1,1,26755,
1716,,Surface,25,Image 1,1,26756,
854,,Surface,25,Image 1,1,26758,
1396,,Surface,25,Image 1,1,26759,
858,,Surface,25,Image 1,1,26760,
1058,,Surface,25,Image 1,1,26761,
1484,,Surface,25,Image 1,1,26762,
782,,Surface,25,Image 1,1,26763,
1612,,Surface,25,Image 1,1,26764,
850,,Surface,25,Image 1,1,26765,
1228,,Surface,25,Image 1,1,26766,
1374,,Surface,25,Image 1,1,26767,
1436,,Surface,25,Image 1,1,26768,
1876,,Surface,25,Image 1,1,26771,
1524,,Surface,25,Image 1,1,26772,
1164,,Surface,25,Image 1,1,26773,
1164,,Surface,25,Image 1,1,26774,
854,,Surface,25,Image 1,1,26776,
3256,,Surface,25,Image 1,1,26777,
1132,,Surface,25,Image 1,1,26778,
858,,Surface,25,Image 1,1,26779,
1852,,Surface,25,Image 1,1,26780,
1588,,Surface,25,Image 1,1,26781,
2152,,Surface,25,Image 1,1,26783,
1132,,Surface,25,Image 1,1,26784,
1892,,Surface,25,Image 1,1,26785,
2024,,Surface,25,Image 1,1,26786,
2268,,Surface,25,Image 1,1,26787,
1500,,Surface,25,Image 1,1,26788,
1460,,Surface,25,Image 1,1,26789,
1468,,Surface,25,Image 1,1,26790,
1540,,Surface,25,Image 1,1,26791,
1524,,Surface,25,Image 1,1,26792,
2360,,Surface,25,Image 1,1,26793,
1046,,Surface,25,Image 1,1,26794,
1028,,Surface,25,Image 1,1,26795,
2084,,Surface,25,Image 1,1,26796,
3000,,Surface,25,Image 1,1,26797,
766,,Surface,25,Image 1,1,26798,
1588,,Surface,25,Image 1,1,26799,
1380,,Surface,25,Image 1,1,26800,
1868,,Surface,25,Image 1,1,26801,
2008,,Surface,25,Image 1,1,26802,
1090,,Surface,25,Image 1,1,26803,
1976,,Surface,25,Image 1,1,26804,
1556,,Surface,25,Image 1,1,26805,
2484,,Surface,25,Image 1,1,26806,
1058,,Surface,25,Image 1,1,26807,
2452,,Surface,25,Image 1,1,26808,
1172,,Surface,25,Image 1,1,26809,
822,,Surface,25,Image 1,1,26810,
1148,,Surface,25,Image 1,1,26811,
1118,,Surface,25,Image 1,1,26812,
916,,Surface,25,Image 1,1,26813,
1756,,Surface,25,Image 1,1,26814,
1102,,Surface,25,Image 1,1,26815,
1066,,Surface,25,Image 1,1,26816,
1300,,Surface,25,Image 1,1,26817,
2044,,Surface,25,Image 1,1,26818,
1068,,Surface,25,Image 1,1,26819,
642,,Surface,25,Image 1,1,26820,
1652,,Surface,25,Image 1,1,26821,
1852,,Surface,25,Image 1,1,26822,
1860,,Surface,25,Image 1,1,26823,
1596,,Surface,25,Image 1,1,26824,
1556,,Surface,25,Image 1,1,26825,
1612,,Surface,25,Image 1,1,26826,
1532,,Surface,25,Image 1,1,26827,
1094,,Surface,25,Image 1,1,26828,
1092,,Surface,25,Image 1,1,26829,
1244,,Surface,25,Image 1,1,26830,
1188,,Surface,25,Image 1,1,26831,
2076,,Surface,25,Image 1,1,26833,
1516,,Surface,25,Image 1,1,26834,
934,,Surface,25,Image 1,1,26835,
1500,,Surface,25,Image 1,1,26836,
714,,Surface,25,Image 1,1,26837,
1836,,Surface,25,Image 1,1,26838,
1276,,Surface,25,Image 1,1,26839,
1428,,Surface,25,Image 1,1,26840,
1142,,Surface,25,Image 1,1,26841,
1212,,Surface,25,Image 1,1,26843,
1492,,Surface,25,Image 1,1,26844,
830,,Surface,25,Image 1,1,26845,
1848,,Surface,25,Image 1,1,26846,
1362,,Surface,25,Image 1,1,26847,
2392,,Surface,25,Image 1,1,26848,
1452,,Surface,25,Image 1,1,26849,
1260,,Surface,25,Image 1,1,26850,
974,,Surface,25,Image 1,1,26852,
