
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
85.3751,µm,Surface,Image 1,1,26712,
9.9209,µm,Surface,Image 1,1,26713,
119.072,µm,Surface,Image 1,1,26714,
28.3219,µm,Surface,Image 1,1,26716,
99.6835,µm,Surface,Image 1,1,26717,
77.052,µm,Surface,Image 1,1,26718,
5.45959,µm,Surface,Image 1,1,26719,
109.09,µm,Surface,Image 1,1,26720,
106.013,µm,Surface,Image 1,1,26722,
115.613,µm,Surface,Image 1,1,26723,
83.7186,µm,Surface,Image 1,1,26724,
94.3743,µm,Surface,Image 1,1,26725,
85.5987,µm,Surface,Image 1,1,26726,
44.2183,µm,Surface,Image 1,1,26727,
85.2054,µm,Surface,Image 1,1,26728,
28.8804,µm,Surface,Image 1,1,26729,
120.52,µm,Surface,Image 1,1,26730,
23.8887,µm,Surface,Image 1,1,26731,
62.9481,µm,Surface,Image 1,1,26732,
55.4528,µm,Surface,Image 1,1,26733,
53.4073,µm,Surface,Image 1,1,26734,
80.5071,µm,Surface,Image 1,1,26735,
59.638,µm,Surface,Image 1,1,26736,
129.373,µm,Surface,Image 1,1,26737,
100.649,µm,Surface,Image 1,1,26739,
7.98273,µm,Surface,Image 1,1,26740,
81.0071,µm,Surface,Image 1,1,26741,
97.1307,µm,Surface,Image 1,1,26742,
38.6529,µm,Surface,Image 1,1,26743,
27.2064,µm,Surface,Image 1,1,26745,
46.6927,µm,Surface,Image 1,1,26746,
20.6528,µm,Surface,Image 1,1,26747,
115.344,µm,Surface,Image 1,1,26748,
68.3702,µm,Surface,Image 1,1,26749,
49.9329,µm,Surface,Image 1,1,26750,
95.7863,µm,Surface,Image 1,1,26751,
8.92188,µm,Surface,Image 1,1,26752,
9.75354,µm,Surface,Image 1,1,26753,
74.351,µm,Surface,Image 1,1,26754,
22.8091,µm,Surface,Image 1,1,26755,
115.828,µm,Surface,Image 1,1,26756,
76.5515,µm,Surface,Image 1,1,26758,
61.7978,µm,Surface,Image 1,1,26759,
9.68329,µm,Surface,Image 1,1,26760,
33.8676,µm,Surface,Image 1,1,26761,
75.7857,µm,Surface,Image 1,1,26762,
24.3541,µm,Surface,Image 1,1,26763,
86.062,µm,Surface,Image 1,1,26764,
20.0566,µm,Surface,Image 1,1,26765,
42.7176,µm,Surface,Image 1,1,26766,
126.396,µm,Surface,Image 1,1,26767,
98.6532,µm,Surface,Image 1,1,26768,
82.8243,µm,Surface,Image 1,1,26771,
20.4397,µm,Surface,Image 1,1,26772,
31.7223,µm,Surface,Image 1,1,26773,
109.32,µm,Surface,Image 1,1,26774,
104.649,µm,Surface,Image 1,1,26776,
94.3049,µm,Surface,Image 1,1,26777,
8.62067,µm,Surface,Image 1,1,26778,
31.2444,µm,Surface,Image 1,1,26779,
36.311,µm,Surface,Image 1,1,26780,
76.9761,µm,Surface,Image 1,1,26781,
109.151,µm,Surface,Image 1,1,26783,
15.2867,µm,Surface,Image 1,1,26784,
39.6793,µm,Surface,Image 1,1,26785,
57.5673,µm,Surface,Image 1,1,26786,
91.1872,µm,Surface,Image 1,1,26787,
42.3849,µm,Surface,Image 1,1,26788,
54.986,µm,Surface,Image 1,1,26789,
108.298,µm,Surface,Image 1,1,26790,
51.4235,µm,Surface,Image 1,1,26791,
66.8824,µm,Surface,Image 1,1,26792,
