
Intensity Sum Ch=31 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
3166,,Surface,31,Image 1,1,1256,
2009,,Surface,31,Image 1,1,1264,
40721,,Surface,31,Image 1,1,1267,
15538,,Surface,31,Image 1,1,1275,
420,,Surface,31,Image 1,1,1277,
5088,,Surface,31,Image 1,1,1278,
798087,,Surface,31,Image 1,1,1280,
246,,Surface,31,Image 1,1,1282,
26,,Surface,31,Image 1,1,1283,
1486,,Surface,31,Image 1,1,1285,
7695,,Surface,31,Image 1,1,1288,
130460,,Surface,31,Image 1,1,1292,
2677,,Surface,31,Image 1,1,1297,
112838,,Surface,31,Image 1,1,1300,
5.17573e+06,,Surface,31,Image 1,1,1303,
84187,,Surface,31,Image 1,1,1306,
149651,,Surface,31,Image 1,1,1307,
1.7492e+06,,Surface,31,Image 1,1,1310,
2.87833e+06,,Surface,31,Image 1,1,1312,
1609,,Surface,31,Image 1,1,1321,
736288,,Surface,31,Image 1,1,1323,
178621,,Surface,31,Image 1,1,1332,
22909,,Surface,31,Image 1,1,1334,
538,,Surface,31,Image 1,1,1341,
14284,,Surface,31,Image 1,1,1348,
397,,Surface,31,Image 1,1,1350,
104,,Surface,31,Image 1,1,1353,
365,,Surface,31,Image 1,1,1356,
1868,,Surface,31,Image 1,1,1358,
2721,,Surface,31,Image 1,1,1359,
3126,,Surface,31,Image 1,1,1360,
2679,,Surface,31,Image 1,1,1365,
0,,Surface,31,Image 1,1,1369,
695487,,Surface,31,Image 1,1,1371,
4.45242e+06,,Surface,31,Image 1,1,1383,
10078,,Surface,31,Image 1,1,1388,
1187,,Surface,31,Image 1,1,1392,
1.12759e+07,,Surface,31,Image 1,1,1395,
18218,,Surface,31,Image 1,1,1399,
58166,,Surface,31,Image 1,1,1400,
300,,Surface,31,Image 1,1,1401,
13688,,Surface,31,Image 1,1,1406,
3666,,Surface,31,Image 1,1,1408,
50155,,Surface,31,Image 1,1,1410,
3892,,Surface,31,Image 1,1,1411,
340490,,Surface,31,Image 1,1,1422,
5,,Surface,31,Image 1,1,1428,
7138,,Surface,31,Image 1,1,1429,
116,,Surface,31,Image 1,1,1441,
175139,,Surface,31,Image 1,1,1464,
24654,,Surface,31,Image 1,1,1467,
1.36936e+06,,Surface,31,Image 1,1,1470,
700422,,Surface,31,Image 1,1,1475,
4.73792e+06,,Surface,31,Image 1,1,1488,
189936,,Surface,31,Image 1,1,1494,
2.5006e+07,,Surface,31,Image 1,1,1501,
291953,,Surface,31,Image 1,1,1502,
0,,Surface,31,Image 1,1,1503,
99,,Surface,31,Image 1,1,1504,
3485,,Surface,31,Image 1,1,1508,
14058,,Surface,31,Image 1,1,1510,
3.33769e+06,,Surface,31,Image 1,1,1512,
26224,,Surface,31,Image 1,1,1515,
16307,,Surface,31,Image 1,1,1516,
6534,,Surface,31,Image 1,1,1517,
3.62553e+06,,Surface,31,Image 1,1,1518,
8537,,Surface,31,Image 1,1,1521,
452812,,Surface,31,Image 1,1,1525,
188336,,Surface,31,Image 1,1,1527,
4379,,Surface,31,Image 1,1,1528,
421,,Surface,31,Image 1,1,1529,
3.07135e+06,,Surface,31,Image 1,1,1534,
2716,,Surface,31,Image 1,1,1535,
16672,,Surface,31,Image 1,1,1537,
37650,,Surface,31,Image 1,1,1540,
14904,,Surface,31,Image 1,1,1542,
1718,,Surface,31,Image 1,1,1545,
151,,Surface,31,Image 1,1,1546,
91760,,Surface,31,Image 1,1,1547,
105816,,Surface,31,Image 1,1,1549,
109903,,Surface,31,Image 1,1,1554,
26353,,Surface,31,Image 1,1,1555,
103392,,Surface,31,Image 1,1,1556,
4272,,Surface,31,Image 1,1,1565,
1.54977e+07,,Surface,31,Image 1,1,1566,
7.38116e+06,,Surface,31,Image 1,1,1569,
1793,,Surface,31,Image 1,1,1574,
2.25785e+06,,Surface,31,Image 1,1,1575,
3296,,Surface,31,Image 1,1,1577,
6167,,Surface,31,Image 1,1,1578,
11329,,Surface,31,Image 1,1,1579,
3.68843e+06,,Surface,31,Image 1,1,1580,
104,,Surface,31,Image 1,1,1584,
3406,,Surface,31,Image 1,1,1597,
5,,Surface,31,Image 1,1,1599,
3.8857e+06,,Surface,31,Image 1,1,1602,
2902,,Surface,31,Image 1,1,1607,
648,,Surface,31,Image 1,1,1609,
3.05453e+06,,Surface,31,Image 1,1,1610,
1.687e+06,,Surface,31,Image 1,1,1619,
721,,Surface,31,Image 1,1,1621,
2.91436e+06,,Surface,31,Image 1,1,1632,
1884,,Surface,31,Image 1,1,1635,
3.45759e+06,,Surface,31,Image 1,1,1647,
1110,,Surface,31,Image 1,1,1656,
272,,Surface,31,Image 1,1,1657,
6033,,Surface,31,Image 1,1,1659,
47625,,Surface,31,Image 1,1,1662,
46648,,Surface,31,Image 1,1,1663,
13699,,Surface,31,Image 1,1,1664,
1.67654e+06,,Surface,31,Image 1,1,1667,
1.34826e+06,,Surface,31,Image 1,1,1668,
8.47731e+06,,Surface,31,Image 1,1,1676,
1007,,Surface,31,Image 1,1,1677,
1105,,Surface,31,Image 1,1,1679,
28143,,Surface,31,Image 1,1,1680,
0,,Surface,31,Image 1,1,1686,
12970,,Surface,31,Image 1,1,1689,
4.62628e+06,,Surface,31,Image 1,1,1692,
4284,,Surface,31,Image 1,1,1715,
8.46672e+06,,Surface,31,Image 1,1,1716,
25800,,Surface,31,Image 1,1,1718,
411176,,Surface,31,Image 1,1,1722,
85609,,Surface,31,Image 1,1,1739,
6.19764e+06,,Surface,31,Image 1,1,1742,
1.67362e+06,,Surface,31,Image 1,1,1743,
