
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
31.5672,µm,Surface,Image 1,1,1358,
72.149,µm,Surface,Image 1,1,1359,
72.9097,µm,Surface,Image 1,1,1360,
14.4691,µm,Surface,Image 1,1,1365,
70.6575,µm,Surface,Image 1,1,1369,
22.4362,µm,Surface,Image 1,1,1371,
28.5281,µm,Surface,Image 1,1,1383,
108.132,µm,Surface,Image 1,1,1388,
106.748,µm,Surface,Image 1,1,1392,
116.651,µm,Surface,Image 1,1,1395,
107.628,µm,Surface,Image 1,1,1399,
19.5615,µm,Surface,Image 1,1,1400,
18.8074,µm,Surface,Image 1,1,1401,
55.4916,µm,Surface,Image 1,1,1406,
137.848,µm,Surface,Image 1,1,1408,
73.0747,µm,Surface,Image 1,1,1410,
137.85,µm,Surface,Image 1,1,1411,
46.7048,µm,Surface,Image 1,1,1422,
91.7393,µm,Surface,Image 1,1,1428,
73.9774,µm,Surface,Image 1,1,1429,
93.4096,µm,Surface,Image 1,1,1441,
162.705,µm,Surface,Image 1,1,1464,
123.501,µm,Surface,Image 1,1,1467,
136.519,µm,Surface,Image 1,1,1470,
140.416,µm,Surface,Image 1,1,1475,
61.6982,µm,Surface,Image 1,1,1488,
119.097,µm,Surface,Image 1,1,1494,
64.6921,µm,Surface,Image 1,1,1501,
183.403,µm,Surface,Image 1,1,1502,
110.763,µm,Surface,Image 1,1,1503,
59.8109,µm,Surface,Image 1,1,1504,
143.772,µm,Surface,Image 1,1,1508,
33.7484,µm,Surface,Image 1,1,1510,
119.032,µm,Surface,Image 1,1,1512,
88.3448,µm,Surface,Image 1,1,1515,
125.676,µm,Surface,Image 1,1,1516,
124.691,µm,Surface,Image 1,1,1517,
148.038,µm,Surface,Image 1,1,1518,
106.83,µm,Surface,Image 1,1,1521,
95.0446,µm,Surface,Image 1,1,1525,
114.325,µm,Surface,Image 1,1,1527,
116.134,µm,Surface,Image 1,1,1528,
55.3344,µm,Surface,Image 1,1,1529,
83.0793,µm,Surface,Image 1,1,1534,
107.595,µm,Surface,Image 1,1,1535,
128.553,µm,Surface,Image 1,1,1537,
110.552,µm,Surface,Image 1,1,1540,
159.044,µm,Surface,Image 1,1,1542,
194.078,µm,Surface,Image 1,1,1545,
105.958,µm,Surface,Image 1,1,1546,
115.936,µm,Surface,Image 1,1,1547,
153.346,µm,Surface,Image 1,1,1549,
75.5544,µm,Surface,Image 1,1,1554,
144.814,µm,Surface,Image 1,1,1555,
92.2739,µm,Surface,Image 1,1,1556,
70.2798,µm,Surface,Image 1,1,1565,
101.616,µm,Surface,Image 1,1,1566,
166.521,µm,Surface,Image 1,1,1569,
116.06,µm,Surface,Image 1,1,1574,
182.339,µm,Surface,Image 1,1,1575,
162.505,µm,Surface,Image 1,1,1577,
209.117,µm,Surface,Image 1,1,1578,
205.894,µm,Surface,Image 1,1,1579,
110.802,µm,Surface,Image 1,1,1580,
164.183,µm,Surface,Image 1,1,1584,
166.854,µm,Surface,Image 1,1,1597,
213.072,µm,Surface,Image 1,1,1599,
220.218,µm,Surface,Image 1,1,1602,
115.537,µm,Surface,Image 1,1,1607,
173.332,µm,Surface,Image 1,1,1609,
186.651,µm,Surface,Image 1,1,1610,
203.529,µm,Surface,Image 1,1,1619,
203.165,µm,Surface,Image 1,1,1621,
230.71,µm,Surface,Image 1,1,1632,
182.391,µm,Surface,Image 1,1,1635,
220.922,µm,Surface,Image 1,1,1647,
236.926,µm,Surface,Image 1,1,1656,
162.456,µm,Surface,Image 1,1,1657,
150.574,µm,Surface,Image 1,1,1659,
146.091,µm,Surface,Image 1,1,1662,
143.191,µm,Surface,Image 1,1,1663,
222.458,µm,Surface,Image 1,1,1664,
153.268,µm,Surface,Image 1,1,1667,
156.741,µm,Surface,Image 1,1,1668,
245.025,µm,Surface,Image 1,1,1676,
193.432,µm,Surface,Image 1,1,1677,
176.856,µm,Surface,Image 1,1,1679,
222.846,µm,Surface,Image 1,1,1680,
207.26,µm,Surface,Image 1,1,1686,
163.781,µm,Surface,Image 1,1,1689,
242.57,µm,Surface,Image 1,1,1692,
208.369,µm,Surface,Image 1,1,1715,
195.568,µm,Surface,Image 1,1,1716,
173.954,µm,Surface,Image 1,1,1718,
252.749,µm,Surface,Image 1,1,1722,
258.206,µm,Surface,Image 1,1,1739,
268.711,µm,Surface,Image 1,1,1742,
254.195,µm,Surface,Image 1,1,1743,
220.108,µm,Surface,Image 1,1,1752,
236.611,µm,Surface,Image 1,1,1754,
218.352,µm,Surface,Image 1,1,1757,
261.409,µm,Surface,Image 1,1,1759,
250.326,µm,Surface,Image 1,1,1761,
232.176,µm,Surface,Image 1,1,1762,
221.446,µm,Surface,Image 1,1,1763,
273.002,µm,Surface,Image 1,1,1779,
283.331,µm,Surface,Image 1,1,1784,
233.878,µm,Surface,Image 1,1,1786,
280.987,µm,Surface,Image 1,1,1791,
277.712,µm,Surface,Image 1,1,1792,
292.515,µm,Surface,Image 1,1,1794,
262.926,µm,Surface,Image 1,1,1802,
274.88,µm,Surface,Image 1,1,1808,
270.112,µm,Surface,Image 1,1,1812,
309.543,µm,Surface,Image 1,1,1815,
310.966,µm,Surface,Image 1,1,1816,
268.135,µm,Surface,Image 1,1,1820,
303.906,µm,Surface,Image 1,1,1832,
313.191,µm,Surface,Image 1,1,1835,
302.89,µm,Surface,Image 1,1,1845,
310.536,µm,Surface,Image 1,1,1846,
294.392,µm,Surface,Image 1,1,1848,
307.378,µm,Surface,Image 1,1,1856,
324.695,µm,Surface,Image 1,1,1860,
31.3484,µm,Surface,Image 1,1,1866,
33.994,µm,Surface,Image 1,1,1867,
46.1108,µm,Surface,Image 1,1,1868,
30.6388,µm,Surface,Image 1,1,1871,
40.1774,µm,Surface,Image 1,1,1872,
43.8079,µm,Surface,Image 1,1,1875,
107.222,µm,Surface,Image 1,1,1878,
72.5625,µm,Surface,Image 1,1,1879,
62.7168,µm,Surface,Image 1,1,1882,
130.02,µm,Surface,Image 1,1,1885,
126.574,µm,Surface,Image 1,1,1886,
30.1825,µm,Surface,Image 1,1,1887,
120.5,µm,Surface,Image 1,1,1890,
103.068,µm,Surface,Image 1,1,1891,
112.168,µm,Surface,Image 1,1,1892,
83.5291,µm,Surface,Image 1,1,1897,
133.663,µm,Surface,Image 1,1,1901,
174.944,µm,Surface,Image 1,1,1904,
102.81,µm,Surface,Image 1,1,1906,
62.4785,µm,Surface,Image 1,1,1907,
95.9255,µm,Surface,Image 1,1,1917,
72.8582,µm,Surface,Image 1,1,1920,
163.548,µm,Surface,Image 1,1,1922,
144.201,µm,Surface,Image 1,1,1936,
96.704,µm,Surface,Image 1,1,1939,
148.958,µm,Surface,Image 1,1,1941,
113.95,µm,Surface,Image 1,1,1943,
169.771,µm,Surface,Image 1,1,1948,
168.154,µm,Surface,Image 1,1,1949,
155.862,µm,Surface,Image 1,1,1952,
172.454,µm,Surface,Image 1,1,1955,
172.81,µm,Surface,Image 1,1,1956,
106.859,µm,Surface,Image 1,1,1966,
2.71771,µm,Surface,Image 1,1,1969,
107.135,µm,Surface,Image 1,1,1970,
139.243,µm,Surface,Image 1,1,1974,
39.0045,µm,Surface,Image 1,1,1977,
