
Intensity Max Ch=34 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
321,,Surface,34,Image 1,1,1353,
166,,Surface,34,Image 1,1,1356,
1206,,Surface,34,Image 1,1,1358,
474,,Surface,34,Image 1,1,1359,
484,,Surface,34,Image 1,1,1360,
209,,Surface,34,Image 1,1,1365,
12,,Surface,34,Image 1,1,1369,
176,,Surface,34,Image 1,1,1371,
2168,,Surface,34,Image 1,1,1383,
2448,,Surface,34,Image 1,1,1388,
1080,,Surface,34,Image 1,1,1392,
375,,Surface,34,Image 1,1,1395,
2262,,Surface,34,Image 1,1,1399,
140,,Surface,34,Image 1,1,1400,
913,,Surface,34,Image 1,1,1401,
226,,Surface,34,Image 1,1,1406,
531,,Surface,34,Image 1,1,1408,
405,,Surface,34,Image 1,1,1410,
966,,Surface,34,Image 1,1,1411,
19,,Surface,34,Image 1,1,1422,
330,,Surface,34,Image 1,1,1428,
908,,Surface,34,Image 1,1,1429,
298,,Surface,34,Image 1,1,1441,
114,,Surface,34,Image 1,1,1464,
593,,Surface,34,Image 1,1,1467,
173,,Surface,34,Image 1,1,1470,
37,,Surface,34,Image 1,1,1475,
154,,Surface,34,Image 1,1,1488,
46,,Surface,34,Image 1,1,1494,
391,,Surface,34,Image 1,1,1501,
205,,Surface,34,Image 1,1,1502,
16,,Surface,34,Image 1,1,1503,
215,,Surface,34,Image 1,1,1504,
1075,,Surface,34,Image 1,1,1508,
302,,Surface,34,Image 1,1,1510,
188,,Surface,34,Image 1,1,1512,
859,,Surface,34,Image 1,1,1515,
132,,Surface,34,Image 1,1,1516,
697,,Surface,34,Image 1,1,1517,
164,,Surface,34,Image 1,1,1518,
94,,Surface,34,Image 1,1,1521,
78,,Surface,34,Image 1,1,1525,
1296,,Surface,34,Image 1,1,1527,
346,,Surface,34,Image 1,1,1528,
537,,Surface,34,Image 1,1,1529,
289,,Surface,34,Image 1,1,1534,
103,,Surface,34,Image 1,1,1535,
1244,,Surface,34,Image 1,1,1537,
69,,Surface,34,Image 1,1,1540,
533,,Surface,34,Image 1,1,1542,
57,,Surface,34,Image 1,1,1545,
35,,Surface,34,Image 1,1,1546,
1,,Surface,34,Image 1,1,1547,
35,,Surface,34,Image 1,1,1549,
153,,Surface,34,Image 1,1,1554,
35,,Surface,34,Image 1,1,1555,
36,,Surface,34,Image 1,1,1556,
222,,Surface,34,Image 1,1,1565,
376,,Surface,34,Image 1,1,1566,
286,,Surface,34,Image 1,1,1569,
231,,Surface,34,Image 1,1,1574,
232,,Surface,34,Image 1,1,1575,
212,,Surface,34,Image 1,1,1577,
501,,Surface,34,Image 1,1,1578,
659,,Surface,34,Image 1,1,1579,
49,,Surface,34,Image 1,1,1580,
56,,Surface,34,Image 1,1,1584,
84,,Surface,34,Image 1,1,1597,
118,,Surface,34,Image 1,1,1599,
139,,Surface,34,Image 1,1,1602,
364,,Surface,34,Image 1,1,1607,
18,,Surface,34,Image 1,1,1609,
213,,Surface,34,Image 1,1,1610,
215,,Surface,34,Image 1,1,1619,
250,,Surface,34,Image 1,1,1621,
195,,Surface,34,Image 1,1,1632,
127,,Surface,34,Image 1,1,1635,
149,,Surface,34,Image 1,1,1647,
587,,Surface,34,Image 1,1,1656,
814,,Surface,34,Image 1,1,1657,
229,,Surface,34,Image 1,1,1659,
29,,Surface,34,Image 1,1,1662,
85,,Surface,34,Image 1,1,1663,
82,,Surface,34,Image 1,1,1664,
118,,Surface,34,Image 1,1,1667,
232,,Surface,34,Image 1,1,1668,
246,,Surface,34,Image 1,1,1676,
144,,Surface,34,Image 1,1,1677,
691,,Surface,34,Image 1,1,1679,
74,,Surface,34,Image 1,1,1680,
42,,Surface,34,Image 1,1,1686,
33,,Surface,34,Image 1,1,1689,
206,,Surface,34,Image 1,1,1692,
360,,Surface,34,Image 1,1,1715,
294,,Surface,34,Image 1,1,1716,
77,,Surface,34,Image 1,1,1718,
53,,Surface,34,Image 1,1,1722,
22,,Surface,34,Image 1,1,1739,
226,,Surface,34,Image 1,1,1742,
456,,Surface,34,Image 1,1,1743,
329,,Surface,34,Image 1,1,1752,
242,,Surface,34,Image 1,1,1754,
399,,Surface,34,Image 1,1,1757,
276,,Surface,34,Image 1,1,1759,
771,,Surface,34,Image 1,1,1761,
169,,Surface,34,Image 1,1,1762,
207,,Surface,34,Image 1,1,1763,
96,,Surface,34,Image 1,1,1779,
70,,Surface,34,Image 1,1,1784,
243,,Surface,34,Image 1,1,1786,
