
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
461.8,µm,Surface,Distance from Origin,1,1023,
464.021,µm,Surface,Distance from Origin,1,1024,
474.735,µm,Surface,Distance from Origin,1,1030,
455.626,µm,Surface,Distance from Origin,1,1033,
456.08,µm,Surface,Distance from Origin,1,1041,
446.88,µm,Surface,Distance from Origin,1,1043,
453.207,µm,Surface,Distance from Origin,1,1046,
420.858,µm,Surface,Distance from Origin,1,1048,
421.422,µm,Surface,Distance from Origin,1,1049,
425.123,µm,Surface,Distance from Origin,1,1051,
446.263,µm,Surface,Distance from Origin,1,1052,
446.329,µm,Surface,Distance from Origin,1,1053,
444.914,µm,Surface,Distance from Origin,1,1055,
450.309,µm,Surface,Distance from Origin,1,1056,
583.77,µm,Surface,Distance from Origin,1,1062,
566.223,µm,Surface,Distance from Origin,1,1065,
576.301,µm,Surface,Distance from Origin,1,1066,
550.958,µm,Surface,Distance from Origin,1,1070,
546.91,µm,Surface,Distance from Origin,1,1071,
566.36,µm,Surface,Distance from Origin,1,1074,
545.235,µm,Surface,Distance from Origin,1,1078,
575.729,µm,Surface,Distance from Origin,1,1087,
553.957,µm,Surface,Distance from Origin,1,1090,
578.719,µm,Surface,Distance from Origin,1,1093,
546.277,µm,Surface,Distance from Origin,1,1094,
561.936,µm,Surface,Distance from Origin,1,1095,
550.115,µm,Surface,Distance from Origin,1,1096,
548.498,µm,Surface,Distance from Origin,1,1101,
528.617,µm,Surface,Distance from Origin,1,1102,
532.776,µm,Surface,Distance from Origin,1,1104,
509.332,µm,Surface,Distance from Origin,1,1105,
527.758,µm,Surface,Distance from Origin,1,1106,
535.961,µm,Surface,Distance from Origin,1,1108,
528.397,µm,Surface,Distance from Origin,1,1109,
528.072,µm,Surface,Distance from Origin,1,1112,
536.258,µm,Surface,Distance from Origin,1,1118,
507.902,µm,Surface,Distance from Origin,1,1121,
509.115,µm,Surface,Distance from Origin,1,1131,
562.506,µm,Surface,Distance from Origin,1,1134,
511.157,µm,Surface,Distance from Origin,1,1137,
489.21,µm,Surface,Distance from Origin,1,1144,
487.128,µm,Surface,Distance from Origin,1,1145,
503.627,µm,Surface,Distance from Origin,1,1148,
472.161,µm,Surface,Distance from Origin,1,1163,
475.242,µm,Surface,Distance from Origin,1,1166,
504.332,µm,Surface,Distance from Origin,1,1169,
469.255,µm,Surface,Distance from Origin,1,1171,
499.528,µm,Surface,Distance from Origin,1,1173,
463.505,µm,Surface,Distance from Origin,1,1177,
467.629,µm,Surface,Distance from Origin,1,1184,
474.599,µm,Surface,Distance from Origin,1,1189,
457.18,µm,Surface,Distance from Origin,1,1191,
460.752,µm,Surface,Distance from Origin,1,1193,
451.822,µm,Surface,Distance from Origin,1,1198,
452.339,µm,Surface,Distance from Origin,1,1200,
446.549,µm,Surface,Distance from Origin,1,1202,
451.974,µm,Surface,Distance from Origin,1,1203,
482.03,µm,Surface,Distance from Origin,1,1212,
534.933,µm,Surface,Distance from Origin,1,1217,
498.409,µm,Surface,Distance from Origin,1,1223,
447.899,µm,Surface,Distance from Origin,1,1224,
448.305,µm,Surface,Distance from Origin,1,1226,
457.687,µm,Surface,Distance from Origin,1,1231,
475.349,µm,Surface,Distance from Origin,1,1236,
529.688,µm,Surface,Distance from Origin,1,1237,
416.321,µm,Surface,Distance from Origin,1,1240,
436.736,µm,Surface,Distance from Origin,1,1241,
506.169,µm,Surface,Distance from Origin,1,1242,
507.102,µm,Surface,Distance from Origin,1,1247,
