
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
39.7578,,Surface,11,Image 1,1,2275,
645.345,,Surface,11,Image 1,1,2276,
384.821,,Surface,11,Image 1,1,2284,
525.644,,Surface,11,Image 1,1,2294,
773.179,,Surface,11,Image 1,1,2299,
635.967,,Surface,11,Image 1,1,2307,
905.396,,Surface,11,Image 1,1,2310,
395.937,,Surface,11,Image 1,1,2314,
928.923,,Surface,11,Image 1,1,2317,
535.429,,Surface,11,Image 1,1,2318,
893.108,,Surface,11,Image 1,1,2319,
1065.34,,Surface,11,Image 1,1,2320,
248.69,,Surface,11,Image 1,1,2331,
802.471,,Surface,11,Image 1,1,2332,
145.173,,Surface,11,Image 1,1,2337,
617.859,,Surface,11,Image 1,1,2339,
889.679,,Surface,11,Image 1,1,2354,
473.862,,Surface,11,Image 1,1,2368,
367.772,,Surface,11,Image 1,1,2369,
148.088,,Surface,11,Image 1,1,2375,
986.223,,Surface,11,Image 1,1,2380,
480.36,,Surface,11,Image 1,1,2398,
227.701,,Surface,11,Image 1,1,2403,
449.805,,Surface,11,Image 1,1,2405,
603.357,,Surface,11,Image 1,1,2409,
363.891,,Surface,11,Image 1,1,2420,
688.049,,Surface,11,Image 1,1,2422,
698.934,,Surface,11,Image 1,1,2426,
