
Intensity Median Ch=27 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
584,,Surface,27,Image 1,1,1059,
372,,Surface,27,Image 1,1,1060,
452,,Surface,27,Image 1,1,1061,
508,,Surface,27,Image 1,1,1063,
616,,Surface,27,Image 1,1,1064,
360,,Surface,27,Image 1,1,1065,
220,,Surface,27,Image 1,1,1066,
308,,Surface,27,Image 1,1,1067,
460,,Surface,27,Image 1,1,1068,
442,,Surface,27,Image 1,1,1070,
364,,Surface,27,Image 1,1,1071,
372,,Surface,27,Image 1,1,1072,
536,,Surface,27,Image 1,1,1073,
396,,Surface,27,Image 1,1,1074,
468,,Surface,27,Image 1,1,1075,
284,,Surface,27,Image 1,1,1076,
338,,Surface,27,Image 1,1,1077,
226,,Surface,27,Image 1,1,1081,
504,,Surface,27,Image 1,1,1082,
71,,Surface,27,Image 1,1,1083,
460,,Surface,27,Image 1,1,1084,
392,,Surface,27,Image 1,1,1085,
220,,Surface,27,Image 1,1,1086,
254,,Surface,27,Image 1,1,1088,
248,,Surface,27,Image 1,1,1090,
262,,Surface,27,Image 1,1,1091,
302,,Surface,27,Image 1,1,1092,
402,,Surface,27,Image 1,1,1093,
380,,Surface,27,Image 1,1,1095,
258,,Surface,27,Image 1,1,1096,
610,,Surface,27,Image 1,1,1099,
364,,Surface,27,Image 1,1,1100,
392,,Surface,27,Image 1,1,1104,
150,,Surface,27,Image 1,1,1106,
464,,Surface,27,Image 1,1,1108,
492,,Surface,27,Image 1,1,1111,
122,,Surface,27,Image 1,1,1112,
4,,Surface,27,Image 1,1,1113,
360,,Surface,27,Image 1,1,1114,
36,,Surface,27,Image 1,1,1115,
148,,Surface,27,Image 1,1,1116,
390,,Surface,27,Image 1,1,1118,
262,,Surface,27,Image 1,1,1122,
226,,Surface,27,Image 1,1,1125,
664,,Surface,27,Image 1,1,1126,
780,,Surface,27,Image 1,1,1128,
301,,Surface,27,Image 1,1,1132,
340,,Surface,27,Image 1,1,1133,
300,,Surface,27,Image 1,1,1136,
310,,Surface,27,Image 1,1,1138,
540,,Surface,27,Image 1,1,1139,
444,,Surface,27,Image 1,1,1140,
36,,Surface,27,Image 1,1,1141,
680,,Surface,27,Image 1,1,1143,
328,,Surface,27,Image 1,1,1145,
238,,Surface,27,Image 1,1,1150,
236,,Surface,27,Image 1,1,1151,
624,,Surface,27,Image 1,1,1153,
194,,Surface,27,Image 1,1,1154,
342,,Surface,27,Image 1,1,1157,
372,,Surface,27,Image 1,1,1158,
228,,Surface,27,Image 1,1,1159,
236,,Surface,27,Image 1,1,1160,
302,,Surface,27,Image 1,1,1162,
534,,Surface,27,Image 1,1,1163,
372,,Surface,27,Image 1,1,1164,
356,,Surface,27,Image 1,1,1165,
312,,Surface,27,Image 1,1,1167,
300,,Surface,27,Image 1,1,1168,
340,,Surface,27,Image 1,1,1169,
0.5,,Surface,27,Image 1,1,1171,
432,,Surface,27,Image 1,1,1173,
440,,Surface,27,Image 1,1,1177,
250,,Surface,27,Image 1,1,1178,
964,,Surface,27,Image 1,1,1179,
