
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
20.4156,µm,Surface,Position,1,1073,
14.9654,µm,Surface,Position,1,1074,
20.4549,µm,Surface,Position,1,1075,
13.3828,µm,Surface,Position,1,1076,
26.1294,µm,Surface,Position,1,1077,
23.8581,µm,Surface,Position,1,1081,
13.1459,µm,Surface,Position,1,1082,
22.1628,µm,Surface,Position,1,1083,
17.4716,µm,Surface,Position,1,1084,
12.7149,µm,Surface,Position,1,1085,
13.711,µm,Surface,Position,1,1086,
22.4603,µm,Surface,Position,1,1088,
15.1287,µm,Surface,Position,1,1090,
22.2002,µm,Surface,Position,1,1091,
19.3015,µm,Surface,Position,1,1092,
28.0932,µm,Surface,Position,1,1093,
23.7582,µm,Surface,Position,1,1095,
27.6889,µm,Surface,Position,1,1096,
28.5351,µm,Surface,Position,1,1099,
24.1326,µm,Surface,Position,1,1100,
18.2918,µm,Surface,Position,1,1104,
27.3433,µm,Surface,Position,1,1106,
14.943,µm,Surface,Position,1,1108,
26.3196,µm,Surface,Position,1,1111,
17.079,µm,Surface,Position,1,1112,
16.4805,µm,Surface,Position,1,1113,
14.5333,µm,Surface,Position,1,1114,
15.2282,µm,Surface,Position,1,1115,
19.7808,µm,Surface,Position,1,1116,
22.9537,µm,Surface,Position,1,1118,
24.9809,µm,Surface,Position,1,1122,
27.8779,µm,Surface,Position,1,1125,
14.0783,µm,Surface,Position,1,1126,
18.8795,µm,Surface,Position,1,1128,
28.7571,µm,Surface,Position,1,1132,
14.4384,µm,Surface,Position,1,1133,
14.0901,µm,Surface,Position,1,1136,
27.7744,µm,Surface,Position,1,1138,
18.9881,µm,Surface,Position,1,1139,
27.7628,µm,Surface,Position,1,1140,
27.4098,µm,Surface,Position,1,1141,
13.915,µm,Surface,Position,1,1143,
19.2334,µm,Surface,Position,1,1145,
27.6437,µm,Surface,Position,1,1150,
15.6146,µm,Surface,Position,1,1151,
14.1247,µm,Surface,Position,1,1153,
25.4384,µm,Surface,Position,1,1154,
26.3194,µm,Surface,Position,1,1157,
13.7961,µm,Surface,Position,1,1158,
13.349,µm,Surface,Position,1,1159,
23.7707,µm,Surface,Position,1,1160,
24.0869,µm,Surface,Position,1,1162,
28.6023,µm,Surface,Position,1,1163,
28.1045,µm,Surface,Position,1,1164,
15.0591,µm,Surface,Position,1,1165,
24.7493,µm,Surface,Position,1,1167,
19.8828,µm,Surface,Position,1,1168,
