
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
849.226,µm,Surface,Distance from Origin,1,616,
851.038,µm,Surface,Distance from Origin,1,617,
842.081,µm,Surface,Distance from Origin,1,619,
844.358,µm,Surface,Distance from Origin,1,625,
840.426,µm,Surface,Distance from Origin,1,627,
857.097,µm,Surface,Distance from Origin,1,628,
814.164,µm,Surface,Distance from Origin,1,629,
823.532,µm,Surface,Distance from Origin,1,630,
811.423,µm,Surface,Distance from Origin,1,631,
810.283,µm,Surface,Distance from Origin,1,632,
809.635,µm,Surface,Distance from Origin,1,634,
811.551,µm,Surface,Distance from Origin,1,636,
808.646,µm,Surface,Distance from Origin,1,638,
809.602,µm,Surface,Distance from Origin,1,640,
801.049,µm,Surface,Distance from Origin,1,641,
802.363,µm,Surface,Distance from Origin,1,643,
810.003,µm,Surface,Distance from Origin,1,644,
809.394,µm,Surface,Distance from Origin,1,646,
807.514,µm,Surface,Distance from Origin,1,647,
808.383,µm,Surface,Distance from Origin,1,651,
807.969,µm,Surface,Distance from Origin,1,652,
800.25,µm,Surface,Distance from Origin,1,653,
814.122,µm,Surface,Distance from Origin,1,654,
811.528,µm,Surface,Distance from Origin,1,658,
801.007,µm,Surface,Distance from Origin,1,660,
813.453,µm,Surface,Distance from Origin,1,662,
806.497,µm,Surface,Distance from Origin,1,663,
819.152,µm,Surface,Distance from Origin,1,664,
809.228,µm,Surface,Distance from Origin,1,666,
803.957,µm,Surface,Distance from Origin,1,669,
811.068,µm,Surface,Distance from Origin,1,672,
823.218,µm,Surface,Distance from Origin,1,673,
816.623,µm,Surface,Distance from Origin,1,674,
807.935,µm,Surface,Distance from Origin,1,675,
813.772,µm,Surface,Distance from Origin,1,676,
813.835,µm,Surface,Distance from Origin,1,678,
817.051,µm,Surface,Distance from Origin,1,679,
805.679,µm,Surface,Distance from Origin,1,680,
817.274,µm,Surface,Distance from Origin,1,682,
831.196,µm,Surface,Distance from Origin,1,684,
805.098,µm,Surface,Distance from Origin,1,685,
817.003,µm,Surface,Distance from Origin,1,686,
805.697,µm,Surface,Distance from Origin,1,687,
816.782,µm,Surface,Distance from Origin,1,688,
816.76,µm,Surface,Distance from Origin,1,690,
819.666,µm,Surface,Distance from Origin,1,691,
816.752,µm,Surface,Distance from Origin,1,693,
820.276,µm,Surface,Distance from Origin,1,694,
817.528,µm,Surface,Distance from Origin,1,697,
817.693,µm,Surface,Distance from Origin,1,699,
827.872,µm,Surface,Distance from Origin,1,700,
824.501,µm,Surface,Distance from Origin,1,701,
825.399,µm,Surface,Distance from Origin,1,702,
815.81,µm,Surface,Distance from Origin,1,703,
808.341,µm,Surface,Distance from Origin,1,706,
819.092,µm,Surface,Distance from Origin,1,709,
829.313,µm,Surface,Distance from Origin,1,710,
835.922,µm,Surface,Distance from Origin,1,711,
821.744,µm,Surface,Distance from Origin,1,712,
819.015,µm,Surface,Distance from Origin,1,713,
827.672,µm,Surface,Distance from Origin,1,717,
810.486,µm,Surface,Distance from Origin,1,719,
814.669,µm,Surface,Distance from Origin,1,720,
831.58,µm,Surface,Distance from Origin,1,721,
820.178,µm,Surface,Distance from Origin,1,723,
835.221,µm,Surface,Distance from Origin,1,725,
826.099,µm,Surface,Distance from Origin,1,728,
815.647,µm,Surface,Distance from Origin,1,730,
829.299,µm,Surface,Distance from Origin,1,731,
826.304,µm,Surface,Distance from Origin,1,736,
816.359,µm,Surface,Distance from Origin,1,737,
814.098,µm,Surface,Distance from Origin,1,739,
811.492,µm,Surface,Distance from Origin,1,741,
819.41,µm,Surface,Distance from Origin,1,744,
829.127,µm,Surface,Distance from Origin,1,747,
826.368,µm,Surface,Distance from Origin,1,751,
819.705,µm,Surface,Distance from Origin,1,752,
833.64,µm,Surface,Distance from Origin,1,753,
824.54,µm,Surface,Distance from Origin,1,754,
824.41,µm,Surface,Distance from Origin,1,755,
828.743,µm,Surface,Distance from Origin,1,757,
814.641,µm,Surface,Distance from Origin,1,758,
833.78,µm,Surface,Distance from Origin,1,759,
821.85,µm,Surface,Distance from Origin,1,761,
838.299,µm,Surface,Distance from Origin,1,766,
822.868,µm,Surface,Distance from Origin,1,772,
825.281,µm,Surface,Distance from Origin,1,773,
835.163,µm,Surface,Distance from Origin,1,774,
832.825,µm,Surface,Distance from Origin,1,775,
834.025,µm,Surface,Distance from Origin,1,776,
830.402,µm,Surface,Distance from Origin,1,780,
831.077,µm,Surface,Distance from Origin,1,786,
819.879,µm,Surface,Distance from Origin,1,787,
805.368,µm,Surface,Distance from Origin,1,788,
783.182,µm,Surface,Distance from Origin,1,791,
804.482,µm,Surface,Distance from Origin,1,794,
806.553,µm,Surface,Distance from Origin,1,797,
796.168,µm,Surface,Distance from Origin,1,798,
804.518,µm,Surface,Distance from Origin,1,799,
812.949,µm,Surface,Distance from Origin,1,800,
794.561,µm,Surface,Distance from Origin,1,801,
781.146,µm,Surface,Distance from Origin,1,802,
789.274,µm,Surface,Distance from Origin,1,803,
783.172,µm,Surface,Distance from Origin,1,804,
812.723,µm,Surface,Distance from Origin,1,805,
795.323,µm,Surface,Distance from Origin,1,810,
787.78,µm,Surface,Distance from Origin,1,811,
800.197,µm,Surface,Distance from Origin,1,812,
790.466,µm,Surface,Distance from Origin,1,813,
783.539,µm,Surface,Distance from Origin,1,814,
810.117,µm,Surface,Distance from Origin,1,816,
792.445,µm,Surface,Distance from Origin,1,818,
794.423,µm,Surface,Distance from Origin,1,819,
802.573,µm,Surface,Distance from Origin,1,822,
817.789,µm,Surface,Distance from Origin,1,823,
793.082,µm,Surface,Distance from Origin,1,824,
789.553,µm,Surface,Distance from Origin,1,825,
801.924,µm,Surface,Distance from Origin,1,826,
787.689,µm,Surface,Distance from Origin,1,827,
801.419,µm,Surface,Distance from Origin,1,828,
795.095,µm,Surface,Distance from Origin,1,831,
