
Intensity Sum of Square Ch=33 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.80953e+12,,Surface,33,Image 1,1,565,
2.2319e+12,,Surface,33,Image 1,1,567,
2.49711e+11,,Surface,33,Image 1,1,568,
3.69133e+12,,Surface,33,Image 1,1,570,
2.66525e+12,,Surface,33,Image 1,1,572,
1.55073e+12,,Surface,33,Image 1,1,573,
1.35294e+12,,Surface,33,Image 1,1,574,
3.45556e+11,,Surface,33,Image 1,1,576,
3.65015e+12,,Surface,33,Image 1,1,580,
1.51582e+12,,Surface,33,Image 1,1,581,
5.51085e+12,,Surface,33,Image 1,1,582,
5.3394e+12,,Surface,33,Image 1,1,583,
2.73837e+12,,Surface,33,Image 1,1,584,
4.25003e+12,,Surface,33,Image 1,1,588,
2.30371e+12,,Surface,33,Image 1,1,590,
1.05943e+12,,Surface,33,Image 1,1,592,
2.36166e+12,,Surface,33,Image 1,1,594,
1.55292e+13,,Surface,33,Image 1,1,596,
2.59932e+12,,Surface,33,Image 1,1,601,
4.01745e+12,,Surface,33,Image 1,1,602,
3.90567e+12,,Surface,33,Image 1,1,603,
1.99658e+12,,Surface,33,Image 1,1,604,
2.84399e+12,,Surface,33,Image 1,1,607,
7.53905e+12,,Surface,33,Image 1,1,608,
9.03131e+12,,Surface,33,Image 1,1,609,
1.33852e+12,,Surface,33,Image 1,1,610,
2.49193e+12,,Surface,33,Image 1,1,611,
8.45851e+12,,Surface,33,Image 1,1,612,
7.17985e+11,,Surface,33,Image 1,1,613,
1.60813e+12,,Surface,33,Image 1,1,614,
9.83196e+11,,Surface,33,Image 1,1,616,
2.054e+12,,Surface,33,Image 1,1,617,
6.35142e+11,,Surface,33,Image 1,1,619,
9.47858e+11,,Surface,33,Image 1,1,625,
2.18237e+12,,Surface,33,Image 1,1,627,
1.52985e+12,,Surface,33,Image 1,1,628,
1.27924e+12,,Surface,33,Image 1,1,629,
1.44386e+12,,Surface,33,Image 1,1,630,
2.6881e+12,,Surface,33,Image 1,1,631,
2.64062e+12,,Surface,33,Image 1,1,632,
1.08369e+12,,Surface,33,Image 1,1,634,
1.44472e+12,,Surface,33,Image 1,1,636,
1.21028e+12,,Surface,33,Image 1,1,638,
8.91338e+12,,Surface,33,Image 1,1,640,
1.1518e+12,,Surface,33,Image 1,1,641,
7.66563e+11,,Surface,33,Image 1,1,643,
1.78044e+12,,Surface,33,Image 1,1,644,
6.84451e+12,,Surface,33,Image 1,1,646,
1.3508e+12,,Surface,33,Image 1,1,647,
1.84153e+12,,Surface,33,Image 1,1,651,
1.41096e+12,,Surface,33,Image 1,1,652,
2.14129e+08,,Surface,33,Image 1,1,653,
3.23006e+12,,Surface,33,Image 1,1,654,
5.94864e+12,,Surface,33,Image 1,1,658,
1.93489e+12,,Surface,33,Image 1,1,660,
6.50302e+12,,Surface,33,Image 1,1,662,
1.3892e+12,,Surface,33,Image 1,1,663,
3.45191e+12,,Surface,33,Image 1,1,664,
5.84377e+12,,Surface,33,Image 1,1,666,
1.94976e+12,,Surface,33,Image 1,1,669,
6.38834e+11,,Surface,33,Image 1,1,672,
3.25262e+12,,Surface,33,Image 1,1,673,
3.00946e+11,,Surface,33,Image 1,1,674,
3.11917e+12,,Surface,33,Image 1,1,675,
3.51492e+12,,Surface,33,Image 1,1,676,
1.34556e+12,,Surface,33,Image 1,1,678,
3.83426e+11,,Surface,33,Image 1,1,679,
1.50203e+12,,Surface,33,Image 1,1,680,
2.20805e+12,,Surface,33,Image 1,1,682,
5.11237e+12,,Surface,33,Image 1,1,684,
3.3485e+11,,Surface,33,Image 1,1,685,
1.80104e+12,,Surface,33,Image 1,1,686,
4.25839e+12,,Surface,33,Image 1,1,687,
9.68135e+11,,Surface,33,Image 1,1,688,
5.75351e+12,,Surface,33,Image 1,1,690,
2.39393e+12,,Surface,33,Image 1,1,691,
1.99021e+12,,Surface,33,Image 1,1,693,
1.10445e+12,,Surface,33,Image 1,1,694,
3.33354e+12,,Surface,33,Image 1,1,697,
8.43341e+11,,Surface,33,Image 1,1,699,
4.36541e+12,,Surface,33,Image 1,1,700,
2.62186e+12,,Surface,33,Image 1,1,701,
1.21752e+12,,Surface,33,Image 1,1,702,
2.74286e+12,,Surface,33,Image 1,1,703,
7.22993e+11,,Surface,33,Image 1,1,706,
6.96722e+11,,Surface,33,Image 1,1,709,
1.82003e+12,,Surface,33,Image 1,1,710,
4.12435e+12,,Surface,33,Image 1,1,711,
2.09347e+12,,Surface,33,Image 1,1,712,
2.36279e+12,,Surface,33,Image 1,1,713,
4.55281e+12,,Surface,33,Image 1,1,717,
4.91807e+11,,Surface,33,Image 1,1,719,
9.18525e+11,,Surface,33,Image 1,1,720,
8.52496e+11,,Surface,33,Image 1,1,721,
6.16914e+12,,Surface,33,Image 1,1,723,
1.6692e+12,,Surface,33,Image 1,1,725,
4.94151e+12,,Surface,33,Image 1,1,728,
1.12666e+12,,Surface,33,Image 1,1,730,
1.63823e+12,,Surface,33,Image 1,1,731,
1.96065e+12,,Surface,33,Image 1,1,736,
5.28809e+11,,Surface,33,Image 1,1,737,
2.87997e+12,,Surface,33,Image 1,1,739,
1.0784e+12,,Surface,33,Image 1,1,741,
1.80367e+12,,Surface,33,Image 1,1,744,
1.21516e+12,,Surface,33,Image 1,1,747,
1.97268e+12,,Surface,33,Image 1,1,751,
4.9208e+12,,Surface,33,Image 1,1,752,
2.40321e+12,,Surface,33,Image 1,1,753,
4.35237e+12,,Surface,33,Image 1,1,754,
6.6297e+12,,Surface,33,Image 1,1,755,
1.4263e+12,,Surface,33,Image 1,1,757,
3.12488e+11,,Surface,33,Image 1,1,758,
5.66158e+11,,Surface,33,Image 1,1,759,
1.32956e+12,,Surface,33,Image 1,1,761,
2.4948e+12,,Surface,33,Image 1,1,766,
4.9174e+12,,Surface,33,Image 1,1,772,
4.92196e+11,,Surface,33,Image 1,1,773,
1.45585e+12,,Surface,33,Image 1,1,774,
1.05447e+12,,Surface,33,Image 1,1,775,
4.27656e+12,,Surface,33,Image 1,1,776,
7.9434e+12,,Surface,33,Image 1,1,780,
1.20435e+12,,Surface,33,Image 1,1,786,
1.61537e+12,,Surface,33,Image 1,1,787,
2.24672e+12,,Surface,33,Image 1,1,788,
3.67054e+12,,Surface,33,Image 1,1,791,
1.50368e+12,,Surface,33,Image 1,1,794,
5.63135e+12,,Surface,33,Image 1,1,797,
2.18796e+12,,Surface,33,Image 1,1,798,
1.54779e+12,,Surface,33,Image 1,1,799,
2.54614e+12,,Surface,33,Image 1,1,800,
1.73936e+12,,Surface,33,Image 1,1,801,
1.17698e+12,,Surface,33,Image 1,1,802,
1.69716e+12,,Surface,33,Image 1,1,803,
5.87183e+11,,Surface,33,Image 1,1,804,
1.4914e+12,,Surface,33,Image 1,1,805,
5.4358e+12,,Surface,33,Image 1,1,810,
1.4913e+12,,Surface,33,Image 1,1,811,
2.58812e+12,,Surface,33,Image 1,1,812,
2.47546e+12,,Surface,33,Image 1,1,813,
4.46357e+12,,Surface,33,Image 1,1,814,
1.16055e+12,,Surface,33,Image 1,1,816,
1.88266e+12,,Surface,33,Image 1,1,818,
5.1046e+12,,Surface,33,Image 1,1,819,
1.46837e+12,,Surface,33,Image 1,1,822,
9.17179e+11,,Surface,33,Image 1,1,823,
2.78069e+12,,Surface,33,Image 1,1,824,
1.51474e+12,,Surface,33,Image 1,1,825,
3.00305e+12,,Surface,33,Image 1,1,826,
2.99755e+12,,Surface,33,Image 1,1,827,
1.68056e+12,,Surface,33,Image 1,1,828,
1.83567e+12,,Surface,33,Image 1,1,831,
1.51929e+12,,Surface,33,Image 1,1,834,
2.70366e+12,,Surface,33,Image 1,1,835,
1.3133e+12,,Surface,33,Image 1,1,836,
4.15987e+12,,Surface,33,Image 1,1,838,
1.73783e+12,,Surface,33,Image 1,1,840,
5.0989e+11,,Surface,33,Image 1,1,841,
4.57187e+12,,Surface,33,Image 1,1,843,
5.53328e+12,,Surface,33,Image 1,1,844,
3.10186e+12,,Surface,33,Image 1,1,846,
2.17424e+12,,Surface,33,Image 1,1,848,
5.51107e+12,,Surface,33,Image 1,1,849,
2.38701e+12,,Surface,33,Image 1,1,851,
1.98206e+12,,Surface,33,Image 1,1,852,
4.36951e+12,,Surface,33,Image 1,1,853,
2.82259e+12,,Surface,33,Image 1,1,854,
5.99368e+12,,Surface,33,Image 1,1,855,
1.5017e+12,,Surface,33,Image 1,1,856,
4.80552e+12,,Surface,33,Image 1,1,857,
2.77343e+12,,Surface,33,Image 1,1,859,
3.19251e+12,,Surface,33,Image 1,1,861,
2.53203e+12,,Surface,33,Image 1,1,862,
2.71163e+12,,Surface,33,Image 1,1,863,
1.22137e+12,,Surface,33,Image 1,1,866,
4.27184e+12,,Surface,33,Image 1,1,867,
1.10562e+12,,Surface,33,Image 1,1,869,
2.05038e+12,,Surface,33,Image 1,1,871,
1.52115e+12,,Surface,33,Image 1,1,872,
6.29152e+11,,Surface,33,Image 1,1,873,
1.53231e+12,,Surface,33,Image 1,1,875,
2.33419e+12,,Surface,33,Image 1,1,877,
2.30163e+12,,Surface,33,Image 1,1,878,
3.40307e+12,,Surface,33,Image 1,1,879,
1.1941e+12,,Surface,33,Image 1,1,880,
1.58167e+12,,Surface,33,Image 1,1,881,
5.8928e+12,,Surface,33,Image 1,1,882,
4.78717e+12,,Surface,33,Image 1,1,886,
2.09534e+12,,Surface,33,Image 1,1,887,
1.87358e+12,,Surface,33,Image 1,1,888,
1.71167e+12,,Surface,33,Image 1,1,890,
4.87993e+12,,Surface,33,Image 1,1,891,
3.77869e+12,,Surface,33,Image 1,1,892,
1.03544e+12,,Surface,33,Image 1,1,893,
5.80107e+12,,Surface,33,Image 1,1,894,
1.73147e+12,,Surface,33,Image 1,1,895,
3.79555e+12,,Surface,33,Image 1,1,896,
4.49014e+12,,Surface,33,Image 1,1,898,
1.67259e+12,,Surface,33,Image 1,1,900,
9.2818e+11,,Surface,33,Image 1,1,902,
1.5281e+12,,Surface,33,Image 1,1,903,
1.80244e+12,,Surface,33,Image 1,1,905,
5.9615e+11,,Surface,33,Image 1,1,906,
1.06347e+12,,Surface,33,Image 1,1,911,
1.22299e+12,,Surface,33,Image 1,1,912,
5.45187e+11,,Surface,33,Image 1,1,914,
1.69579e+12,,Surface,33,Image 1,1,915,
7.61339e+12,,Surface,33,Image 1,1,917,
2.17387e+12,,Surface,33,Image 1,1,920,
7.81505e+11,,Surface,33,Image 1,1,921,
3.09448e+12,,Surface,33,Image 1,1,923,
4.20387e+12,,Surface,33,Image 1,1,924,
2.4721e+12,,Surface,33,Image 1,1,925,
2.68705e+12,,Surface,33,Image 1,1,926,
7.2998e+12,,Surface,33,Image 1,1,927,
4.96649e+12,,Surface,33,Image 1,1,929,
7.94076e+11,,Surface,33,Image 1,1,930,
2.55357e+12,,Surface,33,Image 1,1,932,
2.19419e+12,,Surface,33,Image 1,1,939,
3.52564e+12,,Surface,33,Image 1,1,942,
5.52806e+12,,Surface,33,Image 1,1,944,
1.02188e+12,,Surface,33,Image 1,1,945,
2.84191e+12,,Surface,33,Image 1,1,947,
1.80311e+12,,Surface,33,Image 1,1,948,
8.91385e+12,,Surface,33,Image 1,1,952,
3.92769e+12,,Surface,33,Image 1,1,955,
8.79595e+11,,Surface,33,Image 1,1,957,
1.12904e+12,,Surface,33,Image 1,1,958,
4.23794e+12,,Surface,33,Image 1,1,961,
3.47054e+12,,Surface,33,Image 1,1,963,
2.72329e+12,,Surface,33,Image 1,1,964,
4.37258e+12,,Surface,33,Image 1,1,966,
8.20555e+11,,Surface,33,Image 1,1,969,
1.12792e+12,,Surface,33,Image 1,1,972,
2.93875e+12,,Surface,33,Image 1,1,973,
2.69091e+12,,Surface,33,Image 1,1,974,
3.5359e+12,,Surface,33,Image 1,1,975,
9.19688e+11,,Surface,33,Image 1,1,976,
3.51095e+12,,Surface,33,Image 1,1,977,
6.94459e+12,,Surface,33,Image 1,1,978,
5.80475e+12,,Surface,33,Image 1,1,979,
3.17726e+11,,Surface,33,Image 1,1,980,
4.15132e+12,,Surface,33,Image 1,1,981,
3.13982e+12,,Surface,33,Image 1,1,982,
9.73921e+12,,Surface,33,Image 1,1,984,
4.04012e+12,,Surface,33,Image 1,1,985,
8.11718e+12,,Surface,33,Image 1,1,986,
7.03103e+11,,Surface,33,Image 1,1,987,
5.30283e+12,,Surface,33,Image 1,1,988,
3.42488e+12,,Surface,33,Image 1,1,989,
1.39073e+12,,Surface,33,Image 1,1,990,
9.09953e+11,,Surface,33,Image 1,1,992,
5.96298e+12,,Surface,33,Image 1,1,994,
2.69658e+12,,Surface,33,Image 1,1,996,
4.71744e+12,,Surface,33,Image 1,1,1000,
4.49802e+12,,Surface,33,Image 1,1,1002,
2.32881e+12,,Surface,33,Image 1,1,1003,
3.82875e+12,,Surface,33,Image 1,1,1004,
1.51466e+12,,Surface,33,Image 1,1,1006,
1.4667e+12,,Surface,33,Image 1,1,1008,
2.43361e+12,,Surface,33,Image 1,1,1009,
4.96202e+12,,Surface,33,Image 1,1,1010,
3.0366e+12,,Surface,33,Image 1,1,1014,
2.60195e+12,,Surface,33,Image 1,1,1017,
2.85476e+12,,Surface,33,Image 1,1,1018,
3.76729e+12,,Surface,33,Image 1,1,1019,
1.06996e+12,,Surface,33,Image 1,1,1020,
5.30638e+12,,Surface,33,Image 1,1,1021,
2.65721e+12,,Surface,33,Image 1,1,1023,
9.69154e+11,,Surface,33,Image 1,1,1024,
8.12306e+11,,Surface,33,Image 1,1,1032,
4.84958e+12,,Surface,33,Image 1,1,1034,
1.24257e+12,,Surface,33,Image 1,1,1035,
5.10534e+12,,Surface,33,Image 1,1,1036,
5.548e+12,,Surface,33,Image 1,1,1037,
1.56291e+12,,Surface,33,Image 1,1,1038,
1.58368e+12,,Surface,33,Image 1,1,1039,
