
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
110,,Surface,2,Image 1,1,1216,
111,,Surface,2,Image 1,1,1217,
104,,Surface,2,Image 1,1,1218,
110,,Surface,2,Image 1,1,1224,
74,,Surface,2,Image 1,1,1226,
112,,Surface,2,Image 1,1,1232,
93,,Surface,2,Image 1,1,1234,
109,,Surface,2,Image 1,1,1237,
121,,Surface,2,Image 1,1,1238,
104,,Surface,2,Image 1,1,1242,
97,,Surface,2,Image 1,1,1245,
45,,Surface,2,Image 1,1,1247,
103,,Surface,2,Image 1,1,1248,
79,,Surface,2,Image 1,1,1251,
103,,Surface,2,Image 1,1,1252,
105,,Surface,2,Image 1,1,1253,
110,,Surface,2,Image 1,1,1256,
16,,Surface,2,Image 1,1,1257,
104,,Surface,2,Image 1,1,1258,
108,,Surface,2,Image 1,1,1260,
107,,Surface,2,Image 1,1,1262,
105,,Surface,2,Image 1,1,1263,
111,,Surface,2,Image 1,1,1265,
101,,Surface,2,Image 1,1,1266,
105,,Surface,2,Image 1,1,1267,
117,,Surface,2,Image 1,1,1268,
100,,Surface,2,Image 1,1,1269,
104,,Surface,2,Image 1,1,1271,
119,,Surface,2,Image 1,1,1272,
111,,Surface,2,Image 1,1,1273,
117,,Surface,2,Image 1,1,1274,
0,,Surface,2,Image 1,1,1276,
103,,Surface,2,Image 1,1,1277,
99,,Surface,2,Image 1,1,1278,
76,,Surface,2,Image 1,1,1279,
108,,Surface,2,Image 1,1,1281,
104,,Surface,2,Image 1,1,1282,
110,,Surface,2,Image 1,1,1287,
103,,Surface,2,Image 1,1,1290,
65,,Surface,2,Image 1,1,1292,
116,,Surface,2,Image 1,1,1293,
101,,Surface,2,Image 1,1,1295,
99,,Surface,2,Image 1,1,1298,
110,,Surface,2,Image 1,1,1302,
103,,Surface,2,Image 1,1,1308,
111,,Surface,2,Image 1,1,1313,
101,,Surface,2,Image 1,1,1318,
0,,Surface,2,Image 1,1,1320,
109,,Surface,2,Image 1,1,1321,
103,,Surface,2,Image 1,1,1322,
112,,Surface,2,Image 1,1,1323,
102,,Surface,2,Image 1,1,1324,
106,,Surface,2,Image 1,1,1326,
103,,Surface,2,Image 1,1,1327,
54,,Surface,2,Image 1,1,1333,
0,,Surface,2,Image 1,1,1334,
112,,Surface,2,Image 1,1,1335,
105,,Surface,2,Image 1,1,1337,
