
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
86.9976,µm,Surface,Image 1,1,7197,
36.4318,µm,Surface,Image 1,1,7198,
45.236,µm,Surface,Image 1,1,7199,
55.5154,µm,Surface,Image 1,1,7200,
74.0164,µm,Surface,Image 1,1,7201,
62.042,µm,Surface,Image 1,1,7202,
106.814,µm,Surface,Image 1,1,7203,
47.733,µm,Surface,Image 1,1,7204,
58.3835,µm,Surface,Image 1,1,7205,
144.813,µm,Surface,Image 1,1,7206,
41.2277,µm,Surface,Image 1,1,7207,
130.427,µm,Surface,Image 1,1,7208,
70.1859,µm,Surface,Image 1,1,7209,
135.934,µm,Surface,Image 1,1,7210,
72.4282,µm,Surface,Image 1,1,7211,
134.814,µm,Surface,Image 1,1,7212,
49.9864,µm,Surface,Image 1,1,7213,
167.386,µm,Surface,Image 1,1,7214,
60.0659,µm,Surface,Image 1,1,7215,
127.857,µm,Surface,Image 1,1,7216,
138.274,µm,Surface,Image 1,1,7217,
143.794,µm,Surface,Image 1,1,7218,
2.9837,µm,Surface,Image 1,1,7219,
18.421,µm,Surface,Image 1,1,7220,
128.34,µm,Surface,Image 1,1,7221,
160.316,µm,Surface,Image 1,1,7222,
113.923,µm,Surface,Image 1,1,7223,
87.8173,µm,Surface,Image 1,1,7224,
0.897766,µm,Surface,Image 1,1,7225,
79.9722,µm,Surface,Image 1,1,7226,
45.3165,µm,Surface,Image 1,1,7228,
112.436,µm,Surface,Image 1,1,7229,
95.0373,µm,Surface,Image 1,1,7230,
98.1815,µm,Surface,Image 1,1,7231,
91.7623,µm,Surface,Image 1,1,7232,
90.3875,µm,Surface,Image 1,1,7233,
55.2661,µm,Surface,Image 1,1,7234,
73.7916,µm,Surface,Image 1,1,7235,
109.624,µm,Surface,Image 1,1,7236,
76.0856,µm,Surface,Image 1,1,7237,
126.223,µm,Surface,Image 1,1,7238,
132.805,µm,Surface,Image 1,1,7239,
93.6842,µm,Surface,Image 1,1,7240,
59.5058,µm,Surface,Image 1,1,7241,
142.087,µm,Surface,Image 1,1,7242,
94.0594,µm,Surface,Image 1,1,7243,
141.747,µm,Surface,Image 1,1,7244,
58.3857,µm,Surface,Image 1,1,7245,
76.3923,µm,Surface,Image 1,1,7246,
100.43,µm,Surface,Image 1,1,7247,
123.688,µm,Surface,Image 1,1,7248,
114.647,µm,Surface,Image 1,1,7250,
101.183,µm,Surface,Image 1,1,7251,
105.721,µm,Surface,Image 1,1,7254,
18.6404,µm,Surface,Image 1,1,7255,
118.591,µm,Surface,Image 1,1,7256,
105.156,µm,Surface,Image 1,1,7257,
8.27924,µm,Surface,Image 1,1,7258,
14.609,µm,Surface,Image 1,1,7259,
115.597,µm,Surface,Image 1,1,7260,
84.733,µm,Surface,Image 1,1,7261,
120.326,µm,Surface,Image 1,1,7262,
144.32,µm,Surface,Image 1,1,7263,
16.7062,µm,Surface,Image 1,1,7264,
49.9961,µm,Surface,Image 1,1,7265,
158.656,µm,Surface,Image 1,1,7266,
181.088,µm,Surface,Image 1,1,7267,
165.104,µm,Surface,Image 1,1,7268,
169.845,µm,Surface,Image 1,1,7269,
133.774,µm,Surface,Image 1,1,7270,
137.259,µm,Surface,Image 1,1,7271,
142.92,µm,Surface,Image 1,1,7272,
164.219,µm,Surface,Image 1,1,7273,
158.241,µm,Surface,Image 1,1,7274,
178.533,µm,Surface,Image 1,1,7275,
162.264,µm,Surface,Image 1,1,7276,
50.9158,µm,Surface,Image 1,1,7277,
