
Intensity Median Ch=9 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
1093,,Surface,9,Image 1,1,7152,
680,,Surface,9,Image 1,1,7154,
5208,,Surface,9,Image 1,1,7155,
3036,,Surface,9,Image 1,1,7156,
908,,Surface,9,Image 1,1,7157,
2616,,Surface,9,Image 1,1,7158,
4976,,Surface,9,Image 1,1,7159,
616,,Surface,9,Image 1,1,7161,
3202,,Surface,9,Image 1,1,7162,
2580,,Surface,9,Image 1,1,7163,
2904,,Surface,9,Image 1,1,7164,
6312,,Surface,9,Image 1,1,7165,
1458,,Surface,9,Image 1,1,7166,
1111,,Surface,9,Image 1,1,7168,
7916,,Surface,9,Image 1,1,7169,
4668,,Surface,9,Image 1,1,7170,
649,,Surface,9,Image 1,1,7171,
7448,,Surface,9,Image 1,1,7172,
3832,,Surface,9,Image 1,1,7173,
1620,,Surface,9,Image 1,1,7174,
1164,,Surface,9,Image 1,1,7175,
350.5,,Surface,9,Image 1,1,7176,
6632,,Surface,9,Image 1,1,7177,
1178,,Surface,9,Image 1,1,7178,
7340,,Surface,9,Image 1,1,7179,
3320,,Surface,9,Image 1,1,7181,
154,,Surface,9,Image 1,1,7182,
2060,,Surface,9,Image 1,1,7183,
5764,,Surface,9,Image 1,1,7184,
1884,,Surface,9,Image 1,1,7185,
1900,,Surface,9,Image 1,1,7187,
166,,Surface,9,Image 1,1,7188,
1278,,Surface,9,Image 1,1,7189,
1130,,Surface,9,Image 1,1,7190,
1095,,Surface,9,Image 1,1,7191,
2040,,Surface,9,Image 1,1,7192,
14640,,Surface,9,Image 1,1,7193,
2136,,Surface,9,Image 1,1,7194,
1392,,Surface,9,Image 1,1,7195,
2580,,Surface,9,Image 1,1,7196,
1368,,Surface,9,Image 1,1,7197,
265.5,,Surface,9,Image 1,1,7198,
5180,,Surface,9,Image 1,1,7199,
9054,,Surface,9,Image 1,1,7200,
7448,,Surface,9,Image 1,1,7201,
4552,,Surface,9,Image 1,1,7202,
6152,,Surface,9,Image 1,1,7203,
3880,,Surface,9,Image 1,1,7204,
6536,,Surface,9,Image 1,1,7205,
2724,,Surface,9,Image 1,1,7206,
922,,Surface,9,Image 1,1,7207,
2904,,Surface,9,Image 1,1,7208,
14,,Surface,9,Image 1,1,7209,
1014,,Surface,9,Image 1,1,7210,
3404,,Surface,9,Image 1,1,7211,
2407,,Surface,9,Image 1,1,7212,
934,,Surface,9,Image 1,1,7213,
610,,Surface,9,Image 1,1,7214,
8360,,Surface,9,Image 1,1,7215,
2620,,Surface,9,Image 1,1,7216,
1458,,Surface,9,Image 1,1,7217,
1456,,Surface,9,Image 1,1,7218,
1642,,Surface,9,Image 1,1,7219,
668,,Surface,9,Image 1,1,7220,
6836,,Surface,9,Image 1,1,7221,
1700,,Surface,9,Image 1,1,7222,
2508,,Surface,9,Image 1,1,7223,
1328,,Surface,9,Image 1,1,7224,
1938,,Surface,9,Image 1,1,7225,
2560,,Surface,9,Image 1,1,7226,
806,,Surface,9,Image 1,1,7228,
1676,,Surface,9,Image 1,1,7229,
6008,,Surface,9,Image 1,1,7230,
5508,,Surface,9,Image 1,1,7231,
5848,,Surface,9,Image 1,1,7232,
814,,Surface,9,Image 1,1,7233,
2366,,Surface,9,Image 1,1,7234,
2184,,Surface,9,Image 1,1,7235,
8516,,Surface,9,Image 1,1,7236,
4412,,Surface,9,Image 1,1,7237,
1900,,Surface,9,Image 1,1,7238,
1534,,Surface,9,Image 1,1,7239,
1256,,Surface,9,Image 1,1,7240,
2512,,Surface,9,Image 1,1,7241,
665,,Surface,9,Image 1,1,7242,
5644,,Surface,9,Image 1,1,7243,
1130,,Surface,9,Image 1,1,7244,
1278,,Surface,9,Image 1,1,7245,
2497,,Surface,9,Image 1,1,7246,
2388,,Surface,9,Image 1,1,7247,
3236,,Surface,9,Image 1,1,7248,
2220,,Surface,9,Image 1,1,7250,
4596,,Surface,9,Image 1,1,7251,
2736,,Surface,9,Image 1,1,7254,
156,,Surface,9,Image 1,1,7255,
699,,Surface,9,Image 1,1,7256,
7444,,Surface,9,Image 1,1,7257,
1446,,Surface,9,Image 1,1,7258,
1748,,Surface,9,Image 1,1,7259,
1794,,Surface,9,Image 1,1,7260,
1408,,Surface,9,Image 1,1,7261,
3196,,Surface,9,Image 1,1,7262,
4344,,Surface,9,Image 1,1,7263,
2356,,Surface,9,Image 1,1,7264,
710,,Surface,9,Image 1,1,7265,
840,,Surface,9,Image 1,1,7266,
163,,Surface,9,Image 1,1,7267,
2480,,Surface,9,Image 1,1,7268,
6424,,Surface,9,Image 1,1,7269,
6736,,Surface,9,Image 1,1,7270,
1444,,Surface,9,Image 1,1,7271,
1670,,Surface,9,Image 1,1,7272,
1854,,Surface,9,Image 1,1,7273,
3632,,Surface,9,Image 1,1,7274,
6078,,Surface,9,Image 1,1,7275,
108,,Surface,9,Image 1,1,7276,
5004,,Surface,9,Image 1,1,7277,
2102,,Surface,9,Image 1,1,7278,
1912,,Surface,9,Image 1,1,7279,
1380,,Surface,9,Image 1,1,7280,
5980,,Surface,9,Image 1,1,7281,
0.25,,Surface,9,Image 1,1,7282,
3084,,Surface,9,Image 1,1,7283,
60,,Surface,9,Image 1,1,7285,
2900,,Surface,9,Image 1,1,7286,
4002,,Surface,9,Image 1,1,7287,
7400,,Surface,9,Image 1,1,7288,
489,,Surface,9,Image 1,1,7289,
22.5,,Surface,9,Image 1,1,7290,
6672,,Surface,9,Image 1,1,7291,
6936,,Surface,9,Image 1,1,7292,
4480,,Surface,9,Image 1,1,7293,
2076,,Surface,9,Image 1,1,7294,
8436,,Surface,9,Image 1,1,7295,
4168,,Surface,9,Image 1,1,7296,
6088,,Surface,9,Image 1,1,7297,
616,,Surface,9,Image 1,1,7298,
1848,,Surface,9,Image 1,1,7299,
1588,,Surface,9,Image 1,1,7300,
5432,,Surface,9,Image 1,1,7301,
2788,,Surface,9,Image 1,1,7302,
1170,,Surface,9,Image 1,1,7303,
9896,,Surface,9,Image 1,1,7304,
11332,,Surface,9,Image 1,1,7305,
1266,,Surface,9,Image 1,1,7306,
2372,,Surface,9,Image 1,1,7307,
4544,,Surface,9,Image 1,1,7308,
1126,,Surface,9,Image 1,1,7309,
0.5,,Surface,9,Image 1,1,7310,
4540,,Surface,9,Image 1,1,7311,
2030,,Surface,9,Image 1,1,7312,
632,,Surface,9,Image 1,1,7313,
1930,,Surface,9,Image 1,1,7314,
7320,,Surface,9,Image 1,1,7315,
221,,Surface,9,Image 1,1,7316,
1874,,Surface,9,Image 1,1,7318,
4808,,Surface,9,Image 1,1,7319,
3156,,Surface,9,Image 1,1,7320,
5348,,Surface,9,Image 1,1,7321,
1136,,Surface,9,Image 1,1,7322,
796,,Surface,9,Image 1,1,7323,
4416,,Surface,9,Image 1,1,7324,
3356,,Surface,9,Image 1,1,7325,
868,,Surface,9,Image 1,1,7326,
4408,,Surface,9,Image 1,1,7327,
1011,,Surface,9,Image 1,1,7328,
2128,,Surface,9,Image 1,1,7329,
1128,,Surface,9,Image 1,1,7330,
7896,,Surface,9,Image 1,1,7331,
7932,,Surface,9,Image 1,1,7332,
1816,,Surface,9,Image 1,1,7333,
