
Intensity Sum of Square Ch=39 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5.97145e+06,,Surface,39,Image 1,1,6952,
5.47339e+08,,Surface,39,Image 1,1,6953,
426325,,Surface,39,Image 1,1,6954,
2.16072e+06,,Surface,39,Image 1,1,6955,
6.45627e+07,,Surface,39,Image 1,1,6956,
1.16388e+10,,Surface,39,Image 1,1,6957,
8.01826e+08,,Surface,39,Image 1,1,6958,
2.81609e+07,,Surface,39,Image 1,1,6959,
4.20298e+07,,Surface,39,Image 1,1,6960,
1.33973e+08,,Surface,39,Image 1,1,6961,
5.36686e+08,,Surface,39,Image 1,1,6962,
2.86277e+07,,Surface,39,Image 1,1,6963,
7.4342e+07,,Surface,39,Image 1,1,6964,
5.42632e+07,,Surface,39,Image 1,1,6967,
8.0588e+06,,Surface,39,Image 1,1,6969,
1.04857e+08,,Surface,39,Image 1,1,6970,
1.88024e+10,,Surface,39,Image 1,1,6971,
4.76234e+07,,Surface,39,Image 1,1,6973,
3136,,Surface,39,Image 1,1,6974,
1.07116e+08,,Surface,39,Image 1,1,6975,
4.76426e+09,,Surface,39,Image 1,1,6976,
5.53052e+07,,Surface,39,Image 1,1,6977,
3.79839e+08,,Surface,39,Image 1,1,6978,
8.43222e+07,,Surface,39,Image 1,1,6979,
1.346e+09,,Surface,39,Image 1,1,6980,
2.75288e+09,,Surface,39,Image 1,1,6981,
3.40185e+07,,Surface,39,Image 1,1,6982,
7.60746e+07,,Surface,39,Image 1,1,6983,
4.25933e+08,,Surface,39,Image 1,1,6984,
8.22362e+07,,Surface,39,Image 1,1,6985,
3.71206e+06,,Surface,39,Image 1,1,6986,
2.08518e+07,,Surface,39,Image 1,1,6987,
959924,,Surface,39,Image 1,1,6988,
1.13436e+06,,Surface,39,Image 1,1,6989,
3.80327e+07,,Surface,39,Image 1,1,6990,
5.24212e+07,,Surface,39,Image 1,1,6991,
9.22267e+07,,Surface,39,Image 1,1,6992,
1.74292e+08,,Surface,39,Image 1,1,6993,
2.75655e+08,,Surface,39,Image 1,1,6994,
2.38999e+08,,Surface,39,Image 1,1,6995,
1.22565e+09,,Surface,39,Image 1,1,6996,
9.76185e+07,,Surface,39,Image 1,1,6997,
