
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
876.582,,Surface,11,Image 1,1,7048,
931.725,,Surface,11,Image 1,1,7049,
425.875,,Surface,11,Image 1,1,7050,
1103.56,,Surface,11,Image 1,1,7051,
215.745,,Surface,11,Image 1,1,7052,
201.613,,Surface,11,Image 1,1,7053,
240.651,,Surface,11,Image 1,1,7056,
68.8288,,Surface,11,Image 1,1,7057,
309.813,,Surface,11,Image 1,1,7058,
236.947,,Surface,11,Image 1,1,7060,
41.3929,,Surface,11,Image 1,1,7061,
473.905,,Surface,11,Image 1,1,7062,
330.595,,Surface,11,Image 1,1,7063,
726.845,,Surface,11,Image 1,1,7064,
30.6849,,Surface,11,Image 1,1,7065,
66.912,,Surface,11,Image 1,1,7066,
23.9491,,Surface,11,Image 1,1,7067,
839.448,,Surface,11,Image 1,1,7068,
976.501,,Surface,11,Image 1,1,7069,
424.282,,Surface,11,Image 1,1,7070,
251.958,,Surface,11,Image 1,1,7071,
403.286,,Surface,11,Image 1,1,7072,
404.7,,Surface,11,Image 1,1,7073,
233.495,,Surface,11,Image 1,1,7075,
2.93772,,Surface,11,Image 1,1,7076,
49.4971,,Surface,11,Image 1,1,7077,
30.7414,,Surface,11,Image 1,1,7078,
250.276,,Surface,11,Image 1,1,7079,
587.489,,Surface,11,Image 1,1,7080,
238.834,,Surface,11,Image 1,1,7081,
91.4492,,Surface,11,Image 1,1,7082,
302.406,,Surface,11,Image 1,1,7083,
50.8625,,Surface,11,Image 1,1,7084,
84.6453,,Surface,11,Image 1,1,7085,
430.809,,Surface,11,Image 1,1,7087,
775.545,,Surface,11,Image 1,1,7088,
475.751,,Surface,11,Image 1,1,7089,
554.888,,Surface,11,Image 1,1,7090,
89.3929,,Surface,11,Image 1,1,7091,
530.092,,Surface,11,Image 1,1,7092,
63.4725,,Surface,11,Image 1,1,7093,
176.73,,Surface,11,Image 1,1,7094,
786.653,,Surface,11,Image 1,1,7095,
1210.1,,Surface,11,Image 1,1,7096,
411.015,,Surface,11,Image 1,1,7097,
18.9484,,Surface,11,Image 1,1,7098,
17.0518,,Surface,11,Image 1,1,7099,
189.413,,Surface,11,Image 1,1,7101,
274.086,,Surface,11,Image 1,1,7103,
7.42959,,Surface,11,Image 1,1,7104,
