
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
146,,Surface,2,Image 1,1,7354,
275,,Surface,2,Image 1,1,7355,
89,,Surface,2,Image 1,1,7356,
79,,Surface,2,Image 1,1,7357,
254,,Surface,2,Image 1,1,7358,
261,,Surface,2,Image 1,1,7359,
185,,Surface,2,Image 1,1,7360,
299,,Surface,2,Image 1,1,7361,
209,,Surface,2,Image 1,1,7362,
342,,Surface,2,Image 1,1,7363,
95,,Surface,2,Image 1,1,7364,
159,,Surface,2,Image 1,1,7365,
74,,Surface,2,Image 1,1,7366,
118,,Surface,2,Image 1,1,7367,
326,,Surface,2,Image 1,1,7368,
141,,Surface,2,Image 1,1,7369,
121,,Surface,2,Image 1,1,7370,
335,,Surface,2,Image 1,1,7371,
198,,Surface,2,Image 1,1,7372,
0,,Surface,2,Image 1,1,7373,
166,,Surface,2,Image 1,1,7374,
184,,Surface,2,Image 1,1,7375,
131,,Surface,2,Image 1,1,7376,
179,,Surface,2,Image 1,1,7377,
446,,Surface,2,Image 1,1,7378,
65,,Surface,2,Image 1,1,7380,
697,,Surface,2,Image 1,1,7381,
94,,Surface,2,Image 1,1,7382,
45,,Surface,2,Image 1,1,7383,
109,,Surface,2,Image 1,1,7384,
110,,Surface,2,Image 1,1,7385,
139,,Surface,2,Image 1,1,7386,
114,,Surface,2,Image 1,1,7387,
243,,Surface,2,Image 1,1,7388,
577,,Surface,2,Image 1,1,7389,
277,,Surface,2,Image 1,1,7390,
0,,Surface,2,Image 1,1,7391,
0,,Surface,2,Image 1,1,7392,
128,,Surface,2,Image 1,1,7393,
193,,Surface,2,Image 1,1,7394,
21,,Surface,2,Image 1,1,7395,
272,,Surface,2,Image 1,1,7396,
0,,Surface,2,Image 1,1,7397,
78,,Surface,2,Image 1,1,7398,
261,,Surface,2,Image 1,1,7399,
269,,Surface,2,Image 1,1,7400,
43,,Surface,2,Image 1,1,7401,
158,,Surface,2,Image 1,1,7402,
165,,Surface,2,Image 1,1,7403,
187,,Surface,2,Image 1,1,7404,
112,,Surface,2,Image 1,1,7405,
31,,Surface,2,Image 1,1,7406,
164,,Surface,2,Image 1,1,7407,
13,,Surface,2,Image 1,1,7408,
236,,Surface,2,Image 1,1,7410,
22,,Surface,2,Image 1,1,7411,
237,,Surface,2,Image 1,1,7412,
115,,Surface,2,Image 1,1,7413,
255,,Surface,2,Image 1,1,7414,
240,,Surface,2,Image 1,1,7415,
255,,Surface,2,Image 1,1,7416,
45,,Surface,2,Image 1,1,7417,
243,,Surface,2,Image 1,1,7418,
557,,Surface,2,Image 1,1,7419,
251,,Surface,2,Image 1,1,7420,
70,,Surface,2,Image 1,1,7421,
92,,Surface,2,Image 1,1,7422,
2,,Surface,2,Image 1,1,7423,
116,,Surface,2,Image 1,1,7424,
0,,Surface,2,Image 1,1,7425,
52,,Surface,2,Image 1,1,7426,
255,,Surface,2,Image 1,1,7427,
203,,Surface,2,Image 1,1,7428,
87,,Surface,2,Image 1,1,7429,
123,,Surface,2,Image 1,1,7430,
234,,Surface,2,Image 1,1,7431,
141,,Surface,2,Image 1,1,7432,
144,,Surface,2,Image 1,1,7433,
77,,Surface,2,Image 1,1,7434,
96,,Surface,2,Image 1,1,7435,
389,,Surface,2,Image 1,1,7436,
76,,Surface,2,Image 1,1,7437,
112,,Surface,2,Image 1,1,7438,
486,,Surface,2,Image 1,1,7439,
139,,Surface,2,Image 1,1,7440,
205,,Surface,2,Image 1,1,7441,
84,,Surface,2,Image 1,1,7442,
80,,Surface,2,Image 1,1,7443,
634,,Surface,2,Image 1,1,7444,
291,,Surface,2,Image 1,1,7445,
131,,Surface,2,Image 1,1,7446,
83,,Surface,2,Image 1,1,7447,
190,,Surface,2,Image 1,1,7448,
46,,Surface,2,Image 1,1,7449,
193,,Surface,2,Image 1,1,7450,
99,,Surface,2,Image 1,1,7451,
175,,Surface,2,Image 1,1,7452,
0,,Surface,2,Image 1,1,7453,
115,,Surface,2,Image 1,1,7454,
177,,Surface,2,Image 1,1,7455,
115,,Surface,2,Image 1,1,7456,
129,,Surface,2,Image 1,1,7457,
17,,Surface,2,Image 1,1,7458,
117,,Surface,2,Image 1,1,7459,
59,,Surface,2,Image 1,1,7460,
209,,Surface,2,Image 1,1,7462,
63,,Surface,2,Image 1,1,7463,
184,,Surface,2,Image 1,1,7464,
